State 101: {0: 0, 1: 0, 2: 0, 3: 0}
State 201: {0: 0, 1: 0, 2: 0, 3: 0}
State 301: {0: 0, 1: 0, 2: 0, 3: 0}
State 401: {0: 0, 1: 0, 2: 0, 3: 0}
State 501: {0: 0, 1: 0, 2: 0, 3: 0}
State 601: {0: 0, 1: 0, 2: 0, 3: 0}
State 701: {0: 0, 1: 0, 2: 0, 3: 0}
State 801: {0: 0, 1: 0, 2: 0, 3: 0}
State 901: {0: 0, 1: 0, 2: 0, 3: 0}
State 1001: {0: 0, 1: 0, 2: 0, 3: 0}
State 1101: {0: 0, 1: 0, 2: 0, 3: 0}
State 102: {0: 0, 1: 0, 2: 0, 3: 0}
State 202: {0: 0, 1: 0, 2: 0, 3: 0}
State 302: {0: 0, 1: 0, 2: 0, 3: 0}
State 402: {0: 0, 1: 0, 2: 0, 3: 0}
State 502: {0: 0, 1: 0, 2: 0, 3: 0}
State 602: {0: 0, 1: 0, 2: 0, 3: 0}
State 702: {0: 0, 1: 0, 2: 0, 3: 0}
State 802: {0: 0, 1: 0, 2: 0, 3: 0}
State 902: {0: 0, 1: 0, 2: 0, 3: 0}
State 1002: {0: 0, 1: 0, 2: 0, 3: 0}
State 1102: {0: 0, 1: 0, 2: 0, 3: 0}
State 103: {0: 0, 1: 0, 2: 0, 3: 0}
State 203: {0: 0, 1: 0, 2: 0, 3: 0}
State 303: {0: 0, 1: 0, 2: 0, 3: 0}
State 403: {0: 0, 1: 0, 2: 0, 3: 0}
State 503: {0: 0, 1: 0, 2: 0, 3: 0}
State 603: {0: 0, 1: 0, 2: 0, 3: 0}
State 703: {0: 0, 1: 0, 2: 0, 3: 0}
State 803: {0: 0, 1: 0, 2: 0, 3: 0}
State 903: {0: 0, 1: 0, 2: 0, 3: 0}
State 1003: {0: 0, 1: 0, 2: 0, 3: 0}
State 1103: {0: 0, 1: 0, 2: 0, 3: 0}
State 104: {0: 0, 1: 0, 2: 0, 3: 0}
State 204: {0: 0, 1: 0, 2: 0, 3: 0}
State 304: {0: 0, 1: 0, 2: 0, 3: 0}
State 404: {0: 0, 1: 0, 2: 0, 3: 0}
State 504: {0: 0, 1: 0, 2: 0, 3: 0}
State 604: {0: 0, 1: 0, 2: 0, 3: 0}
State 704: {0: 0, 1: 0, 2: 0, 3: 0}
State 804: {0: 0, 1: 0, 2: 0, 3: 0}
State 904: {0: 0, 1: 0, 2: 0, 3: 0}
State 1004: {0: 0, 1: 0, 2: 0, 3: 0}
State 1104: {0: 0, 1: 0, 2: 0, 3: 0}
State 105: {0: 0, 1: 0, 2: 0, 3: 0}
State 205: {0: 0, 1: 0, 2: 0, 3: 0}
State 305: {0: 0, 1: 0, 2: 0, 3: 0}
State 405: {0: 0, 1: 0, 2: 0, 3: 0}
State 505: {0: 0, 1: 0, 2: 0, 3: 0}
State 605: {0: 0, 1: 0, 2: 0, 3: 0}
State 705: {0: 0, 1: 0, 2: 0, 3: 0}
State 805: {0: 0, 1: 0, 2: 0, 3: 0}
